Code,food_name,GI,GL
G001,"Chillies, green-1 (Capsicum annum)",,
G002,"Chillies, green-2 (Capsicum annum)",,
G003,"Chillies, green-3 (Capsicum annum)",,
G004,"Chillies, green-4 (Capsicum annum)",,
G005,"Chillies, green-5 (Capsicum annum)",,
G006,"Chillies, green-6 (Capsicum annum)",,
G007,"Chillies, green-7 (Capsicum annum)",,
G008,"Chillies, green - all varieties (Capsicum annum)",,
G009,Coriander leaves (Coriandrum sativum),,
G010,Curry leaves (Murraya koenigii),,
G011,"Garlic, big clove (Allium sativum)",,
G012,"Garlic, small clove (Allium sativum)",,
G013,"Garlic, single clove, Kashmir (Allium sativum)",,
G014,"Ginger, fresh (Zingiber officinale)",,
G015,Mango ginger (Curcuma amada),,
G016,Mint leaves (Mentha spicata ),,
G017,"Onion, big (Allium cepa)",,
G018,"Onion, small (Allium cepa)",,
G019,Asafoetida (Ferula assa-foetida),,
G020,"Cardamom, green (Elettaria cardamomum)",,
G021,"Cardamom, black (Elettaria cardamomum)",,
G022,"Chillies, red (Capsicum annum)",,
G023,Cloves (Syzygium aromaticum),,
G024,Coriander seeds (Coriandrum sativum),,
G025,Cumin seeds (Cuminum cyminum),,
G026,Fenugreek seeds (Trigonella foenum graecum),,
G027,Mace (Myristica fragrans),,
G028,Nutmeg (Myristica fragrans),,
G029,Omum (Trachyspermum ammi),,
G030,Pippali (Piper longum),,
G031,"Pepper, black (Piper nigrum)",,
G032,Poppy seeds (Papaver somniferum),,
G033,Turmeric powder (Curcuma domestica),,
H001,Almond (Prunus amygdalus),,
H002,"Arecanut, dried, brown (Areca catechu)",,
H003,"Arecanut, dried, red color (Areca catechu)",,
H004,"Arecanut, fresh (Areca catechu)",,
H005,Cashew nut (Anacardium occidentale),,
H006,"Coconut, kernel, dry (Cocos nucifera)",,
H007,"Coconut, kernel, fresh (Cocos nucifera)",,
H008,"Garden cress, seeds (Lepidium sativum)",,
H009,"Gingelly seeds, black (Sesamum indicum)",,
H010,"Gingelly seeds, brown (Sesamum indicum)",,
H011,"Gingelly seeds, white (Sesamum indicum)",,
H012,Ground nut (Arachis hypogaea),,
H013,Mustard seeds (Brassica nigra),,
H014,Linseeds (Linum usitatissimum),,
H015,"Niger seeds, black (Guizotia abyssinica)",,
H016,"Niger seeds, gray (Guizotia abyssinica)",,
H017,Pine seed (Pinus sp.),,
H018,Pistachio nuts (Pistacia vera),,
H019,Safflower seeds (Carthamus tinctorius),,
H020,Sunflower seeds (Helianthus annuus),,
H021,Walnut (Juglans regia),,
I001,"Jaggery, cane (Saccharum officinarum)",,
I002,"Sugarcane, juice (Saccharum officinarum)",,
J001,"Button mushroom, fresh (Agaricus sp.)",,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",,
J004,"Oyster mushroom, dried (Pleurotus sp.)",,
K001,Toddy (Borassus flabellifer),,
K002,Coconut Water (Cocos nucifera),,
L001,"Milk, whole, Buffalo",,
L002,"Milk, whole, Cow",,
L003,Paneer,,
L004,Khoa,,
M001,"Egg, poultry, whole, raw",,
M002,"Egg, poultry, white, raw",,
M003,"Egg, poultry, yolk, raw",,
M004,"Egg, poultry, whole, boiled",,
M005,"Egg, poultry, white, boiled",,
M006,"Egg, poultry, yolk, boiled",,
M007,"Egg, poultry, omlet",,
M008,"Egg, country hen, whole, raw",,
M009,"Egg, country hen, whole, boiled",,
M010,"Egg, country hen, omlet",,
M011,"Egg, duck, whole, boiled",,
M012,"Egg, duck, whole, raw",,
M013,"Egg, duck, whole, omlet",,
M014,"Egg, quial, whole, raw",,
M015,"Egg, quial, whole, boiled",,
N001,"Chicken, poultry, leg, skinless",,
N002,"Chicken, poultry, thigh, skinless",,
N003,"Chicken, poultry, breast, skinless",,
N004,"Chicken, poultry, wing, skinless",,
N005,"Poultry, chicken, liver",,
N006,"Poultry, chicken, gizzard",,
N007,"Country hen, leg, with skin",,
N008,"Country hen, thigh, with skin",,
N009,"Country hen, breast, with skin",,
N010,"Country hen, wing, with skin",,
N011,"Duck, meat, with skin",,
N012,"Emu, meat, skinless",,
N013,"Guinea fowl, meat, with skin",,
N014,"Pigeon, meat, with skin",,
N015,"Quail, meat, skinless",,
N016,"Turkey, leg, with skin",,
N017,"Turkey, thigh, with skin",,
N018,"Turkey, breast, with skin",,
N019,"Turkey, wing, with skin",,
O001,"Goat, shoulder",,
O002,"Goat, chops",,
O003,"Goat, legs",,
O004,"Goat, brain",,
O005,"Goat, tongue",,
O006,"Goat, lungs",,
O007,"Goat, heart",,
O008,"Goat, liver",,
O009,"Goat, tripe",,
O010,"Goat, spleen",,
O011,"Goat, kidneys",,
O012,"Goat, tube (small intestine)",,
O013,"Goat, testis",,
O014,"Sheep, shoulder",,
O015,"Sheep, chops",,
O016,"Sheep, leg",,
O017,"Sheep, brain",,
O018,"Sheep, tongue",,
O019,"Sheep, lungs",,
O020,"Sheep, heart",,
O021,"Sheep, liver",,
O022,"Sheep, tripe",,
O023,"Sheep, spleen",,
O024,"Sheep, kidneys",,
O025,"Beef, shoulder",,
O026,"Beef, chops",,
O027,"Beef, round (leg)",,
O028,"Beef, brain",,
O029,"Beef, tongue",,
O030,"Beef, lungs",,
O031,"Beef, heart",,
O032,"Beef, liver",,
O033,"Beef, tripe",,
O034,"Beef, spleen",,
O035,"Beef, kidneys",,
O036,"Calf, shoulder",,
O037,"Calf, chops",,
O038,"Calf, round (leg)",,
O039,"Calf, brain",,
O040,"Calf, tongue",,
O041,"Calf, heart",,
O042,"Calf, liver",,
O043,"Calf, spleen",,
O044,"Calf, kidneys",,
O045,"Mithun, shoulder",,
O046,"Mithun, chops",,
O047,"Mithun,  round (leg)",,
O048,"Pork, shoulder",,
O049,"Pork, chops",,
O050,"Pork, ham",,
O051,"Pork, lungs",,
O052,"Pork, heart",,
O053,"Pork, liver",,
O054,"Pork, stomach",,
O055,"Pork, spleen",,
O056,"Pork, kidneys",,
O057,"Pork, tube (small intestine)",,
O058,"Hare, shoulder",,
O059,"Hare, chops",,
O060,"Hare, leg",,
O061,"Rabbit, shoulder",,
O062,"Rabbit, chops",,
O063,"Rabbit,  leg",,
P001,Allathi (Elops machnata),,
P002,Aluva (Parastromateus niger),,
P003,Anchovy (Stolephorus indicus),,
P004,Ari fish (Aprion virescens ),,
P005,Betki (Lates calcarifer),,
P006,Black snapper  (Macolor niger),,
P007,Bombay duck (Harpadon nehereus),,
P008,Bommuralu  (Muraenesox cinerius),,
P009,Cat fish (Tachysurus thalassinus),,
P010,Chakla (Rachycentron canadum),,
P011,Chappal (Aluterus monoceros ),,
P012,Chelu (Elagatis bipinnulata),,
P013,Chembali  (Lutjanus quinquelineatus),,
P014,Eri meen (Pristipomoides filamentosus),,
P015,Gobro (Epinephelus diacanthus) 362,,
P016,Guitar fish (Rhinobatus prahli),,
P017,Hilsa (Tenualosa ilisha),,
P018,Jallal (Arius sp.),,
P019,Jathi vela meen (Lethrinus lentjan),,
P020,Kadal bral (Synodus indicus),,
P021,Kadali (Nemipterus mesoprion),,
P022,Kalamaara (Leptomelanosoma indicum),,
P023,Kalava (Epinephelus coioides),,
P024,Kanamayya  (Lutjanus rivulatus),,
P025,Kannadi paarai  (Alectis indicus),,
P026,Karimeen  (Etroplus suratensis),,
P027,Karnagawala  (Anchoa hepsetus),,
P028,Kayrai (Thunnus albacores),,
P029,Kiriyan (Atule mate),,
P030,Kite fish (Mobula kuhlii),,
P031,Korka (Terapon jarbua),,
P032,Kulam paarai (Carangoides fulvoguttatus),,
P033,Maagaa (Polynemus plebeius),,
