Code,food_name,gi,gi_category,gi_source
E002,"Apple, green (Malus domestica)",50,low,"estimated (food-group based, ICFT aligned)"
E003,"Apple, small (Malus domestica)",50,low,"estimated (food-group based, ICFT aligned)"
E004,"Apple, small, Kashmir (Malus domestica)",50,low,"estimated (food-group based, ICFT aligned)"
E005,"Apricot, dried (Prunus armeniaca)",50,low,"estimated (food-group based, ICFT aligned)"
E006,"Apricot, processed (Prunus armeniaca)",50,low,"estimated (food-group based, ICFT aligned)"
E007,Avocado fruit (Persea sp.),50,low,"estimated (food-group based, ICFT aligned)"
E008,Bael fruit (Aegle marmelos),50,low,"estimated (food-group based, ICFT aligned)"
E009,"Banana, ripe, montham (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
E010,"Banana, ripe, poovam (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
E011,"Banana, ripe, red (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
E012,"Banana, ripe, robusta (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
E013,Black berry (Rubus sp.),50,low,"estimated (food-group based, ICFT aligned)"
E014,"Cherries, red (Prunus cerasus)",50,low,"estimated (food-group based, ICFT aligned)"
E015,"Currants, black (Ribes nigrum)",50,low,"estimated (food-group based, ICFT aligned)"
E016,Custard apple (Annona squamosa),50,low,"estimated (food-group based, ICFT aligned)"
E017,"Dates, dry, pale brown (Phoenix dactylifera)",50,low,"estimated (food-group based, ICFT aligned)"
E018,"Dates, dry, dark brown (Phoenix dactylifera)",50,low,"estimated (food-group based, ICFT aligned)"
E019,"Dates, processed (Phoenix dactylifera)",50,low,"estimated (food-group based, ICFT aligned)"
E020,Fig (Ficus carica),50,low,"estimated (food-group based, ICFT aligned)"
E021,Gooseberry (Emblica officinalis),50,low,"estimated (food-group based, ICFT aligned)"
E022,"Grapes, seeded, round, black (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E023,"Grapes, seeded, round, green (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E024,"Grapes, seeded, round, red (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E025,"Grapes, seedless, oval, black (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E026,"Grapes, seedless, round, green (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E027,"Grapes, seedless, round, black (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E028,"Guava, white flesh (Psidium guajava)",50,low,"estimated (food-group based, ICFT aligned)"
E029,"Guava, pink flesh (Psidium guajava)",50,low,"estimated (food-group based, ICFT aligned)"
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",50,low,"estimated (food-group based, ICFT aligned)"
E031,"Jambu fruit, ripe (Syzygium samarangense)",50,low,"estimated (food-group based, ICFT aligned)"
E032,Karonda fruit (Carissa carandas),50,low,"estimated (food-group based, ICFT aligned)"
E033,"Lemon, juice (Citrus limon)",50,low,"estimated (food-group based, ICFT aligned)"
E034,"Lime, sweet,pulp (Citrus limetta)",50,low,"estimated (food-group based, ICFT aligned)"
E035,Litchi (Litchi chinensis),50,low,"estimated (food-group based, ICFT aligned)"
E036,"Mango, ripe, banganapalli (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E037,"Mango, ripe, gulabkhas (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E038,"Mango, ripe, himsagar (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E039,"Mango, ripe, kesar (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E040,"Mango, ripe, neelam (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E041,"Mango, ripe, paheri (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E042,"Mango, ripe, totapari (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
E043,Mangosteen (Garcinia mangostana),50,low,"estimated (food-group based, ICFT aligned)"
E044,Manila tamarind (Pithecellobium dulce),50,low,"estimated (food-group based, ICFT aligned)"
E045,"Musk melon, orange flesh (Cucumis melon)",50,low,"estimated (food-group based, ICFT aligned)"
E046,"Musk melon, yellow flesh (Cucumis melon)",50,low,"estimated (food-group based, ICFT aligned)"
E047,"Orange, pulp (Citrus aurantium)",50,low,"estimated (food-group based, ICFT aligned)"
E048,"Palm fruit, tender (Borassus flabellifer)",50,low,"estimated (food-group based, ICFT aligned)"
E049,"Papaya, ripe (Carica papaya)",50,low,"estimated (food-group based, ICFT aligned)"
E050,Peach (Prunus communis),50,low,"estimated (food-group based, ICFT aligned)"
E051,Pear (Pyrus sp.),50,low,"estimated (food-group based, ICFT aligned)"
E052,Phalsa (Grewia asiatica),50,low,"estimated (food-group based, ICFT aligned)"
E053,Pineapple  (Ananas comosus),50,low,"estimated (food-group based, ICFT aligned)"
E054,Plum (Prunus domestica),50,low,"estimated (food-group based, ICFT aligned)"
E055,"Pomegranate, maroon seeds (Punica granatum)",50,low,"estimated (food-group based, ICFT aligned)"
E056,Pummelo (Citrus maxima),50,low,"estimated (food-group based, ICFT aligned)"
E057,"Raisins, dried, black (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E058,"Raisins, dried, golden (Vitis vinifera)",50,low,"estimated (food-group based, ICFT aligned)"
E059,Rambutan (Nephelium lappaceum),50,low,"estimated (food-group based, ICFT aligned)"
E060,Sapota (Achras sapota),50,low,"estimated (food-group based, ICFT aligned)"
E061,Soursop (Annona muricata),50,low,"estimated (food-group based, ICFT aligned)"
E062,Star fruit (Averrhoa carambola),50,low,"estimated (food-group based, ICFT aligned)"
E063,Strawberry (Fragaria x ananassa),50,low,"estimated (food-group based, ICFT aligned)"
E064,"Tamarind, pulp (Tamarindus indica)",50,low,"estimated (food-group based, ICFT aligned)"
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
E066,"Water melon, pale green (Citrullus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
E067,Wood Apple (Limonia acidissima),50,low,"estimated (food-group based, ICFT aligned)"
E068,Zizyphus (Zizyphus jujube),50,low,"estimated (food-group based, ICFT aligned)"
F001,Beet root (Beta vulgaris),50,low,"estimated (food-group based, ICFT aligned)"
F002,"Carrot, orange (Daucus carota)",50,low,"estimated (food-group based, ICFT aligned)"
F003,"Carrot, red (Daucus carota)",50,low,"estimated (food-group based, ICFT aligned)"
F004,Colocasia (Colocasia esculenta),50,low,"estimated (food-group based, ICFT aligned)"
F005,Lotus root (Nelumbium nelumbo),50,low,"estimated (food-group based, ICFT aligned)"
F006,"Potato, brown skin, big (Solanum tuberosum)",50,low,"estimated (food-group based, ICFT aligned)"
F007,"Potato, brown skin, small (Solanum tuberosum)",50,low,"estimated (food-group based, ICFT aligned)"
F008,"Potato, red skin (Solanum tuberosum)",50,low,"estimated (food-group based, ICFT aligned)"
F009,"Radish, elongate, red skin (Raphanus sativus)",50,low,"estimated (food-group based, ICFT aligned)"
F010,"Radish, elongate, white skin (Raphanus sativus)",50,low,"estimated (food-group based, ICFT aligned)"
F011,"Radish, round, red skin (Raphanus sativus)",50,low,"estimated (food-group based, ICFT aligned)"
F012,"Radish, round, white skin (Raphanus sativus)",50,low,"estimated (food-group based, ICFT aligned)"
F013,"Sweet potato, brown skin (Ipomoea batatas)",50,low,"estimated (food-group based, ICFT aligned)"
F014,"Sweet potato, pink skin (Ipomoea batatas)",50,low,"estimated (food-group based, ICFT aligned)"
F015,Tapioca (Manihot esculenta),50,low,"estimated (food-group based, ICFT aligned)"
F016,Water Chestnut (Eleocharis dulcis),50,low,"estimated (food-group based, ICFT aligned)"
F017,"Yam, elephant (Amorphophallus campanulatus)",50,low,"estimated (food-group based, ICFT aligned)"
F018,"Yam, ordinary (Amorphophallus sp.)",50,low,"estimated (food-group based, ICFT aligned)"
F019,"Yam, wild (Dioscorea villosa)",50,low,"estimated (food-group based, ICFT aligned)"
G001,"Chillies, green-1 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G002,"Chillies, green-2 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G003,"Chillies, green-3 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G004,"Chillies, green-4 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G005,"Chillies, green-5 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G006,"Chillies, green-6 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G007,"Chillies, green-7 (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G008,"Chillies, green - all varieties (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G009,Coriander leaves (Coriandrum sativum),50,low,"estimated (food-group based, ICFT aligned)"
G010,Curry leaves (Murraya koenigii),50,low,"estimated (food-group based, ICFT aligned)"
G011,"Garlic, big clove (Allium sativum)",50,low,"estimated (food-group based, ICFT aligned)"
G012,"Garlic, small clove (Allium sativum)",50,low,"estimated (food-group based, ICFT aligned)"
G013,"Garlic, single clove, Kashmir (Allium sativum)",50,low,"estimated (food-group based, ICFT aligned)"
G014,"Ginger, fresh (Zingiber officinale)",50,low,"estimated (food-group based, ICFT aligned)"
G015,Mango ginger (Curcuma amada),50,low,"estimated (food-group based, ICFT aligned)"
G016,Mint leaves (Mentha spicata ),50,low,"estimated (food-group based, ICFT aligned)"
G017,"Onion, big (Allium cepa)",50,low,"estimated (food-group based, ICFT aligned)"
G018,"Onion, small (Allium cepa)",50,low,"estimated (food-group based, ICFT aligned)"
G019,Asafoetida (Ferula assa-foetida),50,low,"estimated (food-group based, ICFT aligned)"
G020,"Cardamom, green (Elettaria cardamomum)",50,low,"estimated (food-group based, ICFT aligned)"
G021,"Cardamom, black (Elettaria cardamomum)",50,low,"estimated (food-group based, ICFT aligned)"
G022,"Chillies, red (Capsicum annum)",50,low,"estimated (food-group based, ICFT aligned)"
G023,Cloves (Syzygium aromaticum),50,low,"estimated (food-group based, ICFT aligned)"
G024,Coriander seeds (Coriandrum sativum),50,low,"estimated (food-group based, ICFT aligned)"
G025,Cumin seeds (Cuminum cyminum),50,low,"estimated (food-group based, ICFT aligned)"
G026,Fenugreek seeds (Trigonella foenum graecum),50,low,"estimated (food-group based, ICFT aligned)"
G027,Mace (Myristica fragrans),50,low,"estimated (food-group based, ICFT aligned)"
G028,Nutmeg (Myristica fragrans),50,low,"estimated (food-group based, ICFT aligned)"
G029,Omum (Trachyspermum ammi),50,low,"estimated (food-group based, ICFT aligned)"
G030,Pippali (Piper longum),50,low,"estimated (food-group based, ICFT aligned)"
G031,"Pepper, black (Piper nigrum)",50,low,"estimated (food-group based, ICFT aligned)"
G032,Poppy seeds (Papaver somniferum),50,low,"estimated (food-group based, ICFT aligned)"
G033,Turmeric powder (Curcuma domestica),50,low,"estimated (food-group based, ICFT aligned)"
H001,Almond (Prunus amygdalus),50,low,"estimated (food-group based, ICFT aligned)"
H002,"Arecanut, dried, brown (Areca catechu)",50,low,"estimated (food-group based, ICFT aligned)"
H003,"Arecanut, dried, red color (Areca catechu)",50,low,"estimated (food-group based, ICFT aligned)"
H004,"Arecanut, fresh (Areca catechu)",50,low,"estimated (food-group based, ICFT aligned)"
H005,Cashew nut (Anacardium occidentale),50,low,"estimated (food-group based, ICFT aligned)"
H006,"Coconut, kernel, dry (Cocos nucifera)",50,low,"estimated (food-group based, ICFT aligned)"
H007,"Coconut, kernel, fresh (Cocos nucifera)",50,low,"estimated (food-group based, ICFT aligned)"
H008,"Garden cress, seeds (Lepidium sativum)",50,low,"estimated (food-group based, ICFT aligned)"
H009,"Gingelly seeds, black (Sesamum indicum)",50,low,"estimated (food-group based, ICFT aligned)"
H010,"Gingelly seeds, brown (Sesamum indicum)",50,low,"estimated (food-group based, ICFT aligned)"
H011,"Gingelly seeds, white (Sesamum indicum)",50,low,"estimated (food-group based, ICFT aligned)"
H012,Ground nut (Arachis hypogaea),50,low,"estimated (food-group based, ICFT aligned)"
H013,Mustard seeds (Brassica nigra),50,low,"estimated (food-group based, ICFT aligned)"
H014,Linseeds (Linum usitatissimum),50,low,"estimated (food-group based, ICFT aligned)"
H015,"Niger seeds, black (Guizotia abyssinica)",50,low,"estimated (food-group based, ICFT aligned)"
H016,"Niger seeds, gray (Guizotia abyssinica)",50,low,"estimated (food-group based, ICFT aligned)"
